title,image_link,availability,category,sub_category,type
Antique Brown Leather Top Library Writing Table/Console PD138-15,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_05089963-0e47-49fe-b29f-b790d2ecc8d6.png,in_stock,Tables & Desks,Desks,Desks
Antique c 1900 Neo Greek Styled Carved Wood Sideboard Buffet TL176-1,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_6a6556f5-07ec-4582-99ab-546a96cfdabf.png,in_stock,Storage,Sideboards & Credenzas,
Antique Carved Double Door Armoire w Beveled Mirrors circa 1890 PD138-20,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_26c921bd-69c8-44ed-ac96-94599c4f106c.png,in_stock,Storage,Armoires & Wardrobes,
Antique Carved Wood Frame Chaise Lounge Floral Upholstery PD138-36,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_a9e67195-83b8-4f48-9559-7175fb2a8771.png,in_stock,Seating,Chaises & Daybeds,
Antique Italian Carved Rectangular Side Table with Marble Top PD138-6,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_6daf8e46-cf36-4b10-a867-7b48adb7f42a.png,in_stock,Tables & Desks,Tables,Accent & Side tables
Antique Low Louis XV Style Boudoir Vanity Chair MM190-9,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_ed8929d6-7a53-4ee8-9951-8457acc9d982.png,out_of_stock,Seating,Chairs,Accent Chairs
Antique Narrow Sofa Table Console PD138-45,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_139c730f-2769-4320-a409-269c662d0ce9.png,in_stock,Tables & Desks,Tables,Console tables
Antique Solid Wood Mirror MM190-23,https://cdn.shopify.com/s/files/1/0628/3208/3179/files/IMG_4573-PhotoRoom.png?v=1687225042,out_of_stock,Decor,Mirrors,Wall Mirrors
Antique Twin Rattan Cane Head & Foot Board Bed Frame RR203-10,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_3bdfe23a-12bc-4ef6-9a79-8b107a6f7ea4.png,out_of_stock,Beds,Bed Frames,
Antique Victorian Marble Top Bedside End / Accent Table JV189-2,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_d4421e5b-648a-4897-9814-b131f7ec1910.jpg,in_stock,"Storage, Tables & Desks","Nightstands, Tables",Accent & Side tables
Arhaus Louis XV Style Loveseat or Sofa Contrasting Seat Cushion LC207-26,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_6f6d7131-57f6-4c7c-b321-c401f9c35f01.jpg,out_of_stock,Seating,Sofas,Loveseats
Arhaus Round Hammered Copper Coffee Table w Iron Base SH134-4,https://cdn.shopify.com/s/files/1/0628/3208/3179/products/IMG_7270-PhotoRoom_1.png?v=1664910651,in_stock,Tables & Desks,Tables,Coffee tables
Atara Back Velvet Chair w/Silver Frame (10 available) BL137-01,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_cc99a48e-764c-4f03-9abd-90ba6ce5fd8b.webp,in_stock,Seating,Chairs,"Dining Chairs, Accent Chairs"
Authentic Cone Rocket Nose pods Mid 60's Hawley Products Co NASA Space JS45-11401,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_8cb40103-95fc-4cce-971d-27c714f05bfe.png,in_stock,Decor,Decorative Accessories,Sculptures & Statues
Barry Dixon Tomlinson/Erwin-Lamberth Michael Bench LC207-23,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_e51608e7-cf1a-4c14-b080-ca73b003c0c7.jpg,out_of_stock,Seating,Benches,
Beautiful Round Wood Bernhardt Accent Side End Table LY200-4,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_c2a2b52e-3d25-4dbe-b9c3-c19769ef5f7d.jpg,in_stock,Tables & Desks,Tables,Accent & Side tables
Benchmade 37x37 Grey Chenille Square Crowd Pleaser Ottoman MTF158-29,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_6548ac2e-9955-4584-9197-e34aa8264fa2.png,out_of_stock,Seating,Ottomans & Footstools,
Benchmade Tyler Modern Gray Tufted Back Sofa Couch MTF158-27,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_12771be8-a87b-47ff-b270-05c1ec628f34.png,out_of_stock,Seating,Sofas,Sofas
Bending Diver Diving Woman Sculpture HOP104-41,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_472429dd-487f-4bee-abb8-add51799632b.jpg,in_stock,Decor,Decorative Accessories,Sculptures & Statues
Bernhardt Jet Set 2 Door Wood Console Cabinet TH154-3,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_ea1b29f3-14c8-49f8-8f36-e09057d24a71.png,out_of_stock,Storage,Storage & Display Cabinets,
Bernhardt Jolie 360 Swivel Chair in Grey Flannel TH154-14,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_4c92c56a-51a1-40d3-9202-2209365a9a02.png,out_of_stock,Seating,"Chairs, Armchairs","Swivel Chairs, Club Chairs, Arm Chairs"
Black Gold Bakers Rack Etagere w Curved Front TM193-12,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_afa81101-ed5a-4c81-a475-c6353842abab.jpg,out_of_stock,Storage,Bookcases & Shelving,
MAKE OFFER Black Windsor Rocking Chair TM193-11,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_4eeae94f-57d3-43d1-a981-53fbe5a0f426.jpg,out_of_stock,Seating,Armchairs,Rocking Chairs
Blue / Black Leather Two Seater Sofa Couch SB183-39,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_7f1df432-d8ac-43ec-8dbc-39dc620efe18.jpg,out_of_stock,Seating,Sofas,"Loveseats, Sofas"
Bombay Co. Black Curule Base Writing Table w/Leather Desk Chair LF172-2,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_f38cfc09-51a6-42b7-9df2-1b9fea4f10f5.png,in_stock,"Seating, Tables & Desks","Chairs, Desks","Office Chairs, Desks"
Boyd Drop Shelf Coffee Table w/Smoked Glass (2 avail) HOP104-19,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_84aa166a-8b5d-4315-bb8d-442dfd16af4d.png,in_stock,Tables & Desks,Tables,Coffee tables
Brandt Mid Century Wood High/Low End Table JW169-5,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_133af43f-f632-454d-858b-a6e4ab8a64c4.png,out_of_stock,Tables & Desks,Tables,Accent & Side tables
Castellano 2 Cushion Down Sofa in Custom Fabric  PD138-1,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_f45de121-8410-4ff3-aedc-024af4421347.png,in_stock,Seating,Sofas,"Sofas, Loveseats"
CB2 Lenox Dining Chair BL137-08,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_240893c5-913f-446a-8a74-9f3e998d86be.jpg,in_stock,Seating,Chairs,Dining Chairs
Century Taylor Eglomise Glass Top Faux Shagreen Drum End Table HH149-10,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_eb8dd58a-be9d-4801-9986-42282ce1f5db.png,out_of_stock,Tables & Desks,Tables,Accent & Side tables
Channel Back Accent Butterfly Chair Purple Plum Moire Silk Taffeta PD138-17,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_6dee338e-a6ae-4c1a-af76-bae5bc77c5fa.png,in_stock,Seating,"Chairs, Armchairs","Accent Chairs, Arm Chairs"
Children's Shoe Storage Home Basics 12 Bin Toy Organizer LY200-8,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_7f476772-d667-4b29-ae9b-3c5ea94d4383.jpg,out_of_stock,Storage,Bookcases & Shelving,
Christian Dior Antoinette Gold Accent Stainless Flatware Place Setting GH,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_4286238c-7994-433c-9545-b7d101a715c0.jpg,out_of_stock,Decor,Decorative Accessories,Kitchen Accessoires
Modern Sling Style Dining Chair,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_c26ef281-4a90-42b9-b48d-6b42d2a5f959.jpg,out_of_stock,Seating,Chairs,Dining Chairs
Nancy Corzine Eight Drawer Rainwater Dresser,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_3f93059a-c9ea-473c-9d6a-6955f3dced34.jpg,out_of_stock,Storage,Dressers & Chests of Drawers,
Mid Century Modern Velvet Side Chairs,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_4adf2385-7882-46a4-8712-3f387a0ad25d.jpg,out_of_stock,Seating,Chairs,"Accent Chairs, Dining Chairs"
Eifel Dining Chair,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_fcc8c566-28f6-4306-bbf8-c3b7d72d9c3b.jpg,out_of_stock,Seating,Chairs,Dining Chairs
Living Spaces Apollo Swivel Accent Chair,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_0301ff4f-97d4-460c-962d-ea7de2fd5f68.jpg,out_of_stock,Seating,"Chairs, Armchairs","Accent Chairs, Club Chairs"
Contemporary Metal Framed Arm Chair,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_4d0a0ace-8b22-45e7-9570-b71501bf7e53.jpg,out_of_stock,Seating,"Chairs, Armchairs","Dining Chairs, Arm Chairs"
Round Modern Dining Table,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_2cb83303-7079-4e40-aa52-462b979b6f09.jpg,out_of_stock,Tables & Desks,Tables,Dining tables
Room & Board Parsons Quartz Top Dining Table,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_c444efa2-febf-4e01-bd21-bb967111c617.jpg,out_of_stock,Tables & Desks,Tables,Dining tables
Armen Living Palmetto Accent Chair,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_50a7362d-192d-450d-87b1-551d38e04d03.jpg,out_of_stock,Seating,Chairs,"Accent Chairs, Dining Chairs"
Hayworth Table Lamp,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_e1e6d587-a2b4-4de5-b4ac-4ca49dec5e09.jpg,out_of_stock,Lighting,Table Lamps,
Crate & Barrel Bamboo Media Console,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_230a5428-6e72-4837-911f-1759d17b9394.jpg,out_of_stock,Storage,Sideboards & Credenzas,
Carved Chinese Trunk,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_93c9ea1e-1b0b-4444-bbd9-5d055e32d971.jpg,out_of_stock,Storage,Trunks & Chests,
Zuo Modern Rocky Retro-Modern Arm Chair,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_d82b5448-83c8-46ba-99ad-d1e3860982f7.jpg,out_of_stock,Seating,Armchairs,Arm Chairs
Knoll Life Task Chair,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_7ad5966e-146c-470e-ac92-30d9672ad92e.jpg,out_of_stock,Seating,Chairs,Office Chairs
J Tamad Imports Chinese Armoire and End Table with Metal Hardware,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_5ba7a8dc-ea71-4e4d-aac3-f284ca6c4980.jpg,out_of_stock,Storage,Armoires & Wardrobes,
"Hollywood Regency Sofa 50"" With Faux Bamboo, Fretwork, Spindles and Soft Peach Pink Upholstered Fabric - Vintage Loveseat Settee Bench",https://ik.imagekit.io/kuj9zqlrx0or/no_bg_31d57747-669a-4c95-bbfe-3e98f33020b2.jpg,out_of_stock,Seating,Sofas,Loveseats
"French Country Dresser by Henredon Pierre Duex 68"" Long- Vintage Cherry Wood Provincial Louis XV Shabby Chic Country Style 9 Drawer Credenza",https://ik.imagekit.io/kuj9zqlrx0or/no_bg_cde173a1-4b09-4e23-81f7-c121c6cf7ac3.jpg,in_stock,Storage,Dressers & Chests of Drawers,
Danish Modern Atomic Teak + Oak Desk #2,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_18dd6f81-f541-4b5c-848b-f958f24124d6.jpg,out_of_stock,Tables & Desks,Desks,Desks
Børge Mogensen Small Teak + Oak Credenza,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_466cccbe-da69-4a7e-9f34-06a78e89cc18.jpg,out_of_stock,Storage,Sideboards & Credenzas,
Locking Danish Modern Credenza In Teak,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_2c7884fc-3efd-48d0-85c3-283511245379.jpg,out_of_stock,Storage,Sideboards & Credenzas,
Nanna Ditzel Highback Lounge Chair In Purple Wool,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_c787a208-ada2-45cc-b0a0-2d9661020ceb.jpg,in_stock,Seating,"Chairs, Armchairs","Accent Chairs, Arm Chairs"
Square Pull Teak Credenza By H.W. Klein #4,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_1c833e6f-bd73-4f06-ba2d-a590b848b3b3.jpg,in_stock,Storage,Sideboards & Credenzas,
Small Teak + Oak Draw Leaf Dining Table,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_04402563-d8d7-4475-a9ab-f3afcc0930e7.jpg,in_stock,Tables & Desks,Tables,Dining tables
Christian Sörensen Highback Lounge Chair In Teak,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_7fa4f33a-12cd-469f-8815-1c0aeea7d62c.jpg,out_of_stock,Seating,"Chairs, Armchairs, Chaises & Daybeds","Arm Chairs, Accent Chairs"
Triangular Teak Framed Wall Mirror,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_a9c2f4e0-7e0e-4e86-b2d3-e89259716c52.jpg,in_stock,Decor,Mirrors,Wall Mirrors
Highback Winged Falcon Chair In Black Leather,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_878cee42-f103-449b-ace9-6e09cf03e30a.jpg,out_of_stock,Seating,"Chairs, Armchairs","Accent Chairs, Arm Chairs"
Fritz Hansen Lounge Chair With Rosewood Paws,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_cab582fb-e27a-4dfd-8f33-be761516d2d2.jpg,in_stock,Seating,"Chairs, Armchairs","Arm Chairs, Accent Chairs"
Svend Skipper Highback Lounge Chair In Rust Leather,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_cd7e8502-ebc7-4062-af35-d17d8e37b360.jpg,in_stock,Seating,"Chairs, Armchairs","Club Chairs, Rocking Chairs, Accent Chairs"
Sold - Pair Of Glass + Brass Wall Lamps By Carl Fagerlund,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_b3a12841-da51-4145-8d02-1f55eb1fb285.jpg,in_stock,Lighting,Ceiling & Wall Lamps,
Illum Wikkelsø X-Leg 3 Seat Sofa In Teak,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_3bf5f39b-271b-4be3-bba1-2a38bd2cbaed.jpg,in_stock,Seating,Sofas,Sofas
Børge Mogensen Drop Front Secretary Desk In Teak,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_876c9b37-3df1-4677-9367-07a952b9448d.jpg,out_of_stock,Tables & Desks,Desks,Secretary Desks
Danish Modern Teak Bar By Oluf Jensen,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_d40c609b-d867-4661-a122-a8e1d855daf4.jpg,in_stock,Storage,Storage & Display Cabinets,
Set Of Seven Kai Kristiansen Model 42 Dining Chairs In Rosewood,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_1a442566-ffcc-4bfa-904c-a9102c87d4f8.jpg,in_stock,Seating,Chairs,Dining Chairs
1970S Modular Sofa With Chrome Frame,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_6a0ddf51-a79a-443b-be49-8ed0c179036e.jpg,in_stock,Seating,Sofas,"Sofas, Sectionals"
Chresten Findahl Brodersen Loveseat In Teak,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_926a2760-f000-4b65-a1a5-58111df302b5.jpg,out_of_stock,Seating,Sofas,Loveseats
1950S Italian Mid Century Corner Sofa,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_a0764354-87ad-4e61-9585-300c240e61d3.jpg,in_stock,Seating,Sofas,Sofas
Teak + Oak Highboy By Poul Volther,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_9ea692a2-e3aa-48a1-bfd7-49b5741abc45.jpg,out_of_stock,Storage,"Dressers & Chests of Drawers, Armoires & Wardrobes",
"Pair Of 1960S Charles Pollock ""657"" Lounge Chairs In Leather + Chrome",https://ik.imagekit.io/kuj9zqlrx0or/no_bg_85974c08-f3b6-4046-bdc4-465c577c699c.jpg,in_stock,Seating,"Chairs, Armchairs","Arm Chairs, Accent Chairs"
Pair Of Model 6361 Teak Speakers By Luxor Brilliant,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_588e5bc3-7ed0-44cb-8896-161e97eeb220.jpg,in_stock,Decor,Decorative Accessories,Decorative Accents
Tall Oak Sideboard In The Manner Of Henry Kjaernulf,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_87d0da8a-0daa-4857-9233-328619a885c9.jpg,in_stock,Storage,Sideboards & Credenzas,
Set Of Six Eterna Armchairs By Ilmari Lappalainen,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_1839e64f-835c-4fd3-b3fd-e1029305c341.jpg,in_stock,Seating,Chairs,Dining Chairs
Pair Of Danish Modern Lounge Chairs With Rosewood Paws,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_92ea9549-ee48-4ee6-aafb-b03727a523c9.jpg,in_stock,Seating,"Chairs, Armchairs","Arm Chairs, Accent Chairs"
"""Sesann"" Lounge Chair By Gianfranco Frattini For Cassina",https://ik.imagekit.io/kuj9zqlrx0or/no_bg_44209b06-f186-47e2-b6e5-15f8f0f2136f.jpg,in_stock,Seating,"Chairs, Armchairs, Chaises & Daybeds","Arm Chairs, Accent Chairs"
Atomic Rosewood Corner Unit / Bar With Original Etched Glass,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_91b8e847-8704-4326-8223-8c01a98f8944.jpg,out_of_stock,Storage,Storage & Display Cabinets,
English Modern Seven Drawer Walnut Dresser,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_badb41f8-6a48-402f-a44e-ab4856b26d02.jpg,in_stock,Storage,Dressers & Chests of Drawers,
Aksel Kjersgaard Mid Century Teak Wall Mirror,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_1104e4b1-bdd8-434b-ad7e-a1e3a5e2546b.jpg,in_stock,Decor,Mirrors,"Wall Mirrors, Full Length & Floor Mirrors"
Large Mcintosh Dunotter Credenza In Rosewood,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_be5c7e23-0e86-4271-89b7-832c30b6dcb4.jpg,in_stock,Storage,Sideboards & Credenzas,
Large Danish Modern Credenza In Teak By H.W. Klein For Bramin,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_a169859a-9420-4ee0-a07d-0271f58dc9cf.jpg,in_stock,Storage,Sideboards & Credenzas,
Kai Lyngfeldt Larsen Lowback Lounge Chair In Rosewood + Black Leather #1,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_dae8d939-fbb9-4ea6-ad2f-ae3da2e65e17.jpg,in_stock,Seating,Armchairs,Arm Chairs
Rare Solid Oak Coffee Table By Hans Wegner For Johannes Hansen,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_5d7a4f09-6bbc-4cf8-a169-b9d2fa612772.jpg,in_stock,Tables & Desks,Tables,Coffee tables
On Hold - G Plan Fresco Teak Desk / Vanity,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_765e13f7-c670-4cf0-9002-fd878d458df7.jpg,out_of_stock,Tables & Desks,Desks,Desks
G Plan Fresco Surfboard Coffee Table In Teak,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_942929f3-43d5-4eea-bf9b-4981bb70f074.jpg,in_stock,Tables & Desks,Tables,Coffee tables
On Hold - 1950S Harp Shaped Mirror In Teak,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_4d1e6c9c-920b-44f5-9fee-45e4193cee1e.jpg,in_stock,Decor,Mirrors,Wall Mirrors
Large Teak + Oak Credenza By Fredrik Kayser,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_c4286ff5-b704-441d-8ed3-83d7ecc079f8.jpg,in_stock,Storage,Sideboards & Credenzas,
Pair Of Illum Wikkelso 'Capella' Chairs In Rosewood + Leather,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_5e1794ea-8183-4b2b-ab59-3c1c81482ec3.jpg,out_of_stock,Seating,"Chairs, Armchairs","Arm Chairs, Accent Chairs"
"Stag ""S Range"" Teak Sideboard By John + Sylvia Reid",https://ik.imagekit.io/kuj9zqlrx0or/no_bg_6bc79d1b-b32d-48c5-be95-3a3280d7528c.jpg,in_stock,Storage,Sideboards & Credenzas,
Organic Danish Modern Shelved Wall / Table Mirror In Teak,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_e47e8cc2-3f38-4dd8-8eb3-bbe7dc43e97c.jpg,in_stock,"Tables & Desks, Decor","Desks, Decorative Accessories, Mirrors","Wall Mirrors, Decorative Accents, Vanity Desks"
Round Starburst Teak Pedestal Coffee Table By Holger Georg Jensen,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_0e4abe1f-ee40-45df-b7e5-78d72d0ad32f.jpg,in_stock,Tables & Desks,Tables,Coffee tables
'Moduline' Lounge Chair In Teak + Brown Leather,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_9d1d41f6-2499-4f10-a5eb-f15869e71843.jpg,in_stock,Seating,"Chairs, Armchairs","Arm Chairs, Club Chairs, Accent Chairs"
Wingback Cantilevered Lounge Chair By Gustav Axel Berg,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_d12f208e-a1d7-4199-8f0f-6664b5e5ea51.jpg,in_stock,Seating,"Chairs, Armchairs","Arm Chairs, Accent Chairs"
1950S Atomic Tripod Floor Lamp In Teak With Balloon Shade,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_ac1f62de-e09e-4c5e-b384-39cd287a6756.jpg,in_stock,Lighting,Floor Lamps,
Drexel Declaration Credenza In Walnut By Kipp Stewart,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_dcc669cb-f998-459d-8655-6e836d9cf301.jpg,in_stock,Storage,Sideboards & Credenzas,
Danish Modern Atomic Teak Highboy Dresser,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_bfc2c46b-ba9a-43a5-a1cb-681332d7f304.jpg,out_of_stock,Storage,Dressers & Chests of Drawers,
Pair Of High + Low Back 1940S Wingback Lounge Chairs,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_ef796ae1-9d9b-4ab1-9cfb-632df25f054b.jpg,in_stock,Seating,Armchairs,Club Chairs
1970S Highback Leather Sectional Sofa In Cognac Buffalo Leather,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_47e030ea-f152-4009-bd75-b8ba6e349537.jpg,in_stock,Seating,Sofas,"Sofas, Sectionals"
19Th Century Mahogany Hutch,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_6d219074-6ad1-41f6-af73-fed37dae4185.jpg,in_stock,Storage,"Armoires & Wardrobes, Trunks & Chests",
On Hold - 1950S Harp Shaped Mirror In Teak,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_5a5b08b8-fedd-47b8-afdd-1d8770d6786f.jpg,in_stock,Decor,Mirrors,Wall Mirrors
Set Of Six Model 31 Kai Kristiansen Dining Chairs In Oak,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_77c85627-edfe-4c6e-9d72-92277368d55c.jpg,in_stock,Seating,Chairs,Dining Chairs
Arne Vodder Reclining Lounge Chair In Beech + Green Wool,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_a5ba00c4-d284-46c4-a9a1-695310f82550.jpg,in_stock,Seating,"Chairs, Armchairs","Arm Chairs, Recliners, Accent Chairs"
Italian Modern Console Credenza In Rosewood,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_3f16159e-ff9f-4178-ab06-1e3db6210beb.jpg,in_stock,Storage,Sideboards & Credenzas,
Børge Mogensen Highback Lounge Chair In Oak,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_61b69159-aa43-43e3-8828-8eaeeda57f28.jpg,in_stock,Seating,Armchairs,Arm Chairs
Swedish Modern Inlay Credenza In Beech,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_a4bdc63a-898f-4597-a85d-43a9fd736794.jpg,in_stock,Storage,Sideboards & Credenzas,
"Danish Modern ""Pipe-Dan"" Pipe Cabinet In Teak",https://ik.imagekit.io/kuj9zqlrx0or/no_bg_c7777888-1913-4f96-a9c1-e758034b94a9.jpg,in_stock,Storage,Storage & Display Cabinets,
Johannes Andersen Two Leaf Dining Table In Rosewood,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_2b69b0dc-5f72-45df-964e-eabe5f8d9663.jpg,in_stock,Tables & Desks,Tables,Dining tables
Norwegian Modern Bentwood Rocking Chair,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_c40199ee-bc40-4bbd-8feb-25c6e4897203.jpg,in_stock,Seating,"Chairs, Armchairs","Arm Chairs, Rocking Chairs, Accent Chairs"
"Sold- 1950S ""Winni"" Lounge Chair By Ikea",https://ik.imagekit.io/kuj9zqlrx0or/no_bg_78bf494c-8c55-4005-b80d-e91f8a2a52e9.jpg,out_of_stock,Seating,Chairs,Accent Chairs
Set Of Four Ps142 Lounge Chairs By Eugenio Gerli For Tecno,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_4838976c-7a9d-4938-b708-4fb80121c8c1.jpg,in_stock,Seating,"Chairs, Armchairs","Club Chairs, Accent Chairs"
Set Of Six Arne Vodder Dining Chairs In Teak,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_c63de8c5-5647-48bc-9e69-d9f7fb098119.jpg,in_stock,Seating,Chairs,Dining Chairs
Danish Modern Six Drawer Highboy Dresser In Rosewood,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_f52f62c9-fdd1-4252-8ce7-aee07d0f5001.jpg,in_stock,Storage,Dressers & Chests of Drawers,
Set Of Six Rosewood Dining Chairs By Chr. Linneberg,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_8d5cfb8c-5b76-4b36-9ed1-d4a9ba700421.jpg,in_stock,Seating,Chairs,Dining Chairs
Atomic Single Drawer Teak Nightstand,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_52a76da9-b276-4452-9239-0908b055c8bc.jpg,out_of_stock,Storage,Nightstands,
On Hold - Søren Rasmussen Double V-Leg Hallway Stand In Teak + Cane,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_9f20ee78-2ca3-4af7-9527-fccd52e4b8ef.jpg,out_of_stock,Storage,Storage & Display Cabinets,
"Set Of Six Arne Jacobsen ""Ant"" Chairs In Teak",https://ik.imagekit.io/kuj9zqlrx0or/no_bg_f0db97c4-4e5e-482b-bc9e-82587adf807d.jpg,in_stock,Seating,Chairs,Dining Chairs
On Hold - Pair Of Rosewood Bookcases By Lyby Møbler,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_1ca38062-19ec-4b20-b165-6b9b7647168e.jpg,in_stock,Storage,Bookcases & Shelving,
Model 12 Draw Leaf Dining Table In Teak By N.O. Møller,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_7244abfc-c593-4467-a6da-f56185c6ae44.jpg,in_stock,Tables & Desks,Tables,Dining tables
Triva Model Z Loveseat By Bengt Ruda,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_48332636-db47-47e6-8367-def84c1e888c.jpg,in_stock,Seating,Sofas,Loveseats
Highback Lounge Chair In Rosewood + Leather,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_7cd47d36-f281-4665-9a6f-0bd6f99909f1.jpg,in_stock,Seating,"Chairs, Armchairs","Arm Chairs, Accent Chairs"
Danish Modern Tripod Ottoman In Cognac Leather,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_30a81d28-cd07-4afa-b8e7-3a470a38438f.jpg,in_stock,Seating,Ottomans & Footstools,
Capella Coffee Table In Rosewood By Illum Wikkelsø,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_af033470-3ea8-4e47-9d6b-3f3dcc675df6.jpg,in_stock,Tables & Desks,Tables,Coffee tables
