title,description,category,sub_category,type,image_link,availability
Vintage Mid Century Modern Brown Nightstand w Peg Legs,"Please Contact us for an EXACT Shipping Quote.
The amount posted IS NOT accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:

************************
Unique Nightstand in Good Vintage Condition. Solid and Firm. 
There is wear that is usual for its age. Please see the photos. 
Overall a Gorgeous Nightstand that you will love having in your home!!
Measurements:   20""H x 20"" x 18"" approx Please ask for exact measurements

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Storage,Nightstands,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_adaf91a8-27f7-46e9-a2e6-fdac25347ede.jpg,in_stock
Pair of Early American Open Cabinet Nightstands ~ French Country,"Please Contact us for an EXACT Shipping Quote.
The amount posted IS NOT accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:

************************
Unique Nightstands in Good Vintage Condition. Solid and Firm. 
But the finish has some nicks.  And wear is usual for their age. 
Please study the photos and ask all questions.
Overall a Gorgeous Chair that you will love having in your home!!
Measurements:   26""High x 19"" x 13""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Storage,Nightstands,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_956aba8a-3391-4689-9e80-30235d08ab85.jpg,in_stock
Vintage Mid Century Modern Brown Hexagon Nightstand No Doors,"Please Contact us for an EXACT Shipping Quote.
The amount posted IS NOT accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:

************************
Unique Side Table in Good Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see the photos. 
Overall a Gorgeous Side Table that you will love having in your home!!
Measurements:   18"" High x 22"" x 22""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Storage,Nightstands,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_57df317f-6e15-41fc-a73d-e0a31c9ed044.jpg,in_stock
Vintage Spanish Style Black Scrolled Metal Bench w Red & Green Fabric,"Please Contact us for an EXACT Shipping Quote.
The amount posted IS NOT accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:

************************
Gorgeous Bench in Good Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see the photos.  
Overall a Gorgeous Bench that you will love having in your home!!
Measurements:  18""High x 18"" x 12"" 

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Seating,Benches,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_75a86f44-1ec7-4ace-92d6-a1142b1b33b1.jpg,in_stock
Set of Six French Country Oak Ornate Back Rest Dining Room Chairs,"Please Contact us for an EXACT Shipping Quote.
The amount posted IS NOT accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:

************************
Gorgeous Chairs in Good Vintage Condition. There is wear that is usual for their age.
 Please see the photos. 
Overall a Gorgeous Set of Chairs that you will love having in your home!!
Measurements:   40.5""High X 18"" X17"" SH 17.5""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Seating,Chairs,Dining Chairs,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_c7785fd4-0254-4abd-9c1f-43cb3cb2ab1c.jpg,in_stock
Vintage French Provincial Scrolled Gold Wall Mantle Mirror,"Please Contact us for an EXACT Shipping Quote.
The amount posted IS NOT accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:

************************
Gorgeous Mirror in Good Vintage Condition. There are a few Hairline Cracks.
 Wear is usual for its age. Please see the photos. 
Overall a Gorgeous Mirror that you will love having in your home!!
Measurements:   46""H x 30"" x 3""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Decor,Mirrors,Wall Mirrors,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_75aa3227-52a9-47f2-803d-de47fe5bead1.jpg,in_stock
Vintage French Country Petite Cane Two Seater Settee Loveseat w Cushion,"Please Contact us for an EXACT Shipping Quote.
The amount posted IS NOT accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:

************************
Gorgeous Settee in Great Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see the photos. 
Overall a Gorgeous Settee that you will love having in your home!!
Measurements:   34""High x 50"" x 21.5"" x SH 15""H

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Seating,Sofas,Loveseats,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_a342774b-50a1-41cd-adf1-27b6ed0edc94.jpg,in_stock
Vintage French Country Syroco Gold Wall Mantel Mirror Scrolls Florishes,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:

*************
Gorgeous Mirror in Great Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see photos.
Overall a Gorgeous Mirror that you will love having in your home!!
Measurements:   29""H x 17"" x 1""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Decor,Mirrors,Wall Mirrors,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_31a9e7f0-523a-458a-8408-d053571fcbca.jpg,in_stock
Pair Antique Brazilian Baroque Hand Painted Ornate Tooled Leather Chairs,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:

*************
Gorgeous Chair in Great Condition. Solid and Firm. 
Wear is usual for their age. Please see photos.
Overall a Gorgeous Set of Chairs that you will love having in your home!!
Measurements:   49""H x 23 1/2"" x 19"" SH 18 1/2""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Seating,Chairs,Accent Chairs,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_a0884a02-ffb8-46ba-9d75-f3fe88d59165.jpg,in_stock
Vintage Italian French Scalloped Edge Silver Coffee Table Platter Made in Italy,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:

*************
Gorgeous Coffee Table in Great Vintage Condition. 
On the table top there are a some blemishes. 
Otherwise, wear is usual for its age. Please see photos.
Overall a Gorgeous Coffee Table that you will love having in your home!!
Measurements:   19""High x 33"" Round

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Tables & Desks,Tables,Coffee tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_2b0c65c4-96bf-4a01-ab98-f66c2ee601f2.jpg,in_stock
Vintage French Country Brass King Headboard with Holding Hands Center Motif,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:

*************
Gorgeous Headboard in Good Vintage Condition. But there are many moving joints which need 
to be tightened and there is about 7 small decorative brass screw heads that are missing. 
Plus the Headboard  will be sent to you separated in the middle for delivery. 
Otherwise, wear is usual for its age. Please see photos. 
Overall a Gorgeous Headboard that you will love having in your home!!
Measurements:   58.5""High x 78""W x 3""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Beds,Headboards,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_b3d1f558-0ed8-4c15-b210-5fc214b9c205.jpg,in_stock
Vintage Oriental Asian Four Panel Screen with Birds & Signed,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:

*************
Unique Pictures in Great Vintage Condition. But there are many Finger Marks.. from handling it. 
Otherwise, Wear is usual for its age. PLEASE  SEE  PHOTOS.
 Click 1st Photo to Supersize all 12 photos.
Overall a Gorgeous Picture that you will love having in your home!!
Measurements:   35""H x 59"" x 5/8""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Decor,Wall Art,Wall Decorative Accents,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_c5e486ef-bbc4-448d-a854-3f1d79487e3e.jpg,in_stock
Vintage Mid Century Bamboo Rattan Ficks Reed Peacock Accent WingBack Chair,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:

*************
Gorgeous Chair in Great Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see photos.
Overall a Gorgeous Chair that you will love having in your home!!
Measurements:   48""H x 31"" x 27 1/2"" x SH: 18 1/2""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Seating,Chairs,Accent Chairs,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_7a939705-b316-4177-8488-0a337b3ae85b.jpg,in_stock
Vintage Russell Woodard White Wrought Iron w Steel Mesh Lounge Sculptura Chair,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:

*************
Gorgeous Chair in Good Vintage Condition. Solid and Firm. 
It Could use new paint or use in its present condition. 
Otherwise, Wear is usual for its age. Please see photos.
Overall a Gorgeous Chair that you will love having in your home!!
Measurements:   36""H x 26 1/2"" x 26"" x 17""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Seating,Chairs,Accent Chairs,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_88db1854-d508-462e-aaff-fd5557275f87.jpg,in_stock
No. 2 Vintage Mid Century Modern McGuire Bachelors Check Dresser w Pull out Shelf,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:

*************
 Gorgeous Dresser in Good Vintage Condition. Solid and Firm. 
There are some spots on the table top. And there is Wear that  is usual for its age. 
Please see photos.
Overall a Gorgeous Dresser that you will love having in your home!!
Measurements:  29""H x 35 1/2 x 19"" 
There is a second matching Dresser, see our store.   Furniture  

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Storage,Dressers & Chests of Drawers,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_4e446494-477a-4ff4-9920-3a7546f74095.jpg,in_stock
Vintage Mid Century Modern McGuire Bachelors Chest Dresser,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:

*************
 Gorgeous Dresser in Good Vintage Condition. Solid and Firm. 
There are some spots on the table top. And there is Wear that  is usual for its age. 
Please see photos.
Overall a Gorgeous Dresser that you will love having in your home!!
Measurements:  29""H x 39 1/2 x 19"" 
There is a second matching Dresser, see our store.   Furniture 

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Storage,Dressers & Chests of Drawers,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_1718dbb4-ba38-4e44-a480-0f6464eba672.jpg,in_stock
Vintage French Country Gold Metal & Brass Fireplace Screen with Metal Curtain,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:

*************
Gorgeous Fireplace Screen in Used Vintage Condition. Solid and Firm. 
But the Screen has burnt marks. This does not impair its use and adds to it vintage Charm.
Otherwise, Wear is usual for its age.
Overall a Gorgeous Fireplace Screen that you will love having in your home!!
Measurements:   26""H x 46""W x 9""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Decor,Decorative Accessories,Decorative Accents,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_e949f5f8-4b2b-4487-966d-ca3ea77d77a2.jpg,in_stock
Pair of Vintage Mid Century Modern McGuire Nightstands Side Tables w Two Drawers Nightstands End Tables,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:

*************
Gorgeous Nightstands in Good Vintage Condition. Solid and Firm. 
But there in one small chip to the veneer on a drawer. Almost Unnoticeable. 
Otherwise, Wear is usual for their age. Please see photos.
Overall a Gorgeous Set of Nightstands that you will love having in your home!!
Measurements:   23""H x 30""W x 18""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Storage,Nightstands,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_8f5544a2-5867-45e1-851c-a7eea3a44bff.jpg,in_stock
Vintage Coromandel Oriental Asian Four Panel Screen Blue Room Divider w Crane,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:

*************
Gorgeous Panel Screen in Great Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see photos.
Overall a Gorgeous Screen that you will love having in your home!!
Measurements:   73""H x 62""W x 1/2""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Decor,Room Dividers,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_6a2b23cc-445a-478a-b9a1-4b96b3956ce8.jpg,in_stock
"Vintage 63"" Tall Ornately Carved Frame w Picture Portrait of a Geisha Playing a Harp","Please Contact us for an EXACT Shipping Quote.
The amount posted IS NOT accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:

************************
 Gorgeous Picture in Great Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see the photos. 
Overall a Gorgeous Mirror that you will love having in your home!!
Measurements:   63""Tall x 50""W x 6""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Decor,Wall Art,"Paintings, Picture Frames",https://ik.imagekit.io/kuj9zqlrx0or/no_bg_5180bd7e-c8ad-4dbd-9828-e2fad27366d2.jpg,in_stock
"Vintage 63"" Tall Ornately Carved Frame w Picture Portrait of a Geisha Playing a Harp","Please Contact us for an EXACT Shipping Quote.
The amount posted IS NOT accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:

************************
Gorgeous Picture in Great Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see the photos. 
Overall a Gorgeous Mirror that you will love having in your home!!
Measurements:   63""Tall x 50""W x 6""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Decor,Mirrors,Wall Mirrors,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_88a5b8a2-9a5e-4b5a-b621-e0a019e7484a.jpg,in_stock
Vintage French Italian Rococo Ornate Gold Gilt Wall Mantel Mirror ~Made in Italy,"Please Contact us for an EXACT Shipping Quote.
The amount posted IS NOT accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:

************************
 Gorgeous Mirror in Great Vintage Condition. 
Wear is usual for its age. Please see the photos.
Overall a Gorgeous Mirror that you will love having in your home!!
Measurements:   63""Tall x 36""Wide x 2""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Decor,Mirrors,Wall Mirrors,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_569026d9-aa77-42ad-af8a-e72394b4cd8b.jpg,in_stock
Vintage Wheat Sheaf Gold Wall Mantle Mirror w Aging Spots by Curtis Jere,"Please Contact us for an EXACT Shipping Quote.
The amount posted IS NOT accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:

************************

Gorgeous Mirror in Good Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see the photos.  
Overall a Gorgeous Mirror that you will love having in your home!!
Measurements:   35.5""Tall x 26""Round 

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Decor,Wall Art,Wall Decorative Accents,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_4fd8df91-a5d8-4265-9ff1-0023ce343833.jpg,in_stock
"Vintage French Style Sarreid, LTD Console w Checkered Board Table Top X Base","Please Contact us for an EXACT Shipping Quote.
The amount posted IS NOT accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:

************************
Gorgeous Table in Good Vintage Condition. The Table has a slight sway to it. 
Otherwise, Wear is usual for its age. Please see the photos. 
Overall a Gorgeous Console Table that you will love having in your home!!
Measurements:  33""High x 69"" x 22"" 

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Tables & Desks,Tables,Console tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_74f85e1e-3c37-4f6d-b987-95f2424f3817.jpg,in_stock
Vintage French Style Side Table ~ End Table w Burl Wood Table Top by Baker Furn.,"Please Contact us for an EXACT Shipping Quote: The amount posted may
 Valencia, CA 91355    


Vintage French Style Side Table ~ End Table w Burl Wood Table Top by Baker Furn.
 Gorgeous Table in Great Vintage Condition. Solid and Firm. Wear is usual for its age. Please see photos.
Overall a Gorgeous Table that you will love having in your home!!
Measurements:   22""High x 28 1/2 x 25 1/2""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
 323-346-9927",Tables & Desks,Tables,Accent & Side tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_63b2c7ad-5e15-4526-b9ab-de7e606ef2c7.jpg,in_stock
Vintage Barley Twist Side End Table Made by Baker Furniture w Cane Shelf,"Please Contact us for an EXACT Shipping Quote: The amount posted may
 Valencia, CA 91355    


Vintage Barley Twist Side End Table Made by Baker Furniture w Cane Shelf
Gorgeous Table in Good Vintage Condition. Solid and Firm. 
The Table top has a water stain over in a corner. 
Otherwise, Wear is usual for its age. Please see photos. 
Overall a Gorgeous Table that you will love having in your home!!
Measurements:  24""High x 26"" x 26"" 

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
 323-346-9927","Storage, Tables & Desks","Nightstands, Tables",Accent & Side tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_a6c0c0b4-8142-4415-bbad-51dd454e668e.jpg,in_stock
Vintage Japanese Oriental Asian Four Panel Wall Screen Picture w Geisha Women,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:

*************
Gorgeous Screen in Great Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see photos.
Overall a Gorgeous Picture that you will love having in your home!!
Measurements:   35""High x 59""W x 5/8""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Decor,Wall Art,Picture Frames,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_352a1fb5-41e6-4f86-8cd0-862f15a29bc2.jpg,in_stock
Vintage Danish Mid Century Modern Brown Walnut Accent Chair,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:

*************
Gorgeous Chair in Great Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see photos.
Overall a Gorgeous Chair that you will love having in your home!!
Measurements:  28""H x 23"" x 23"" SH 18 1/2"" 

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Seating,Chairs,Accent Chairs,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_c880ef0a-566e-4eb5-a979-3e3d5d48014c.jpg,in_stock
Antique Spanish Revival Burgundy Stripped Accent Red Chair Arrow Spindles Farmhouse Chic,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:

*************
Gorgeous Chair in Good Vintage Condition. Solid and Firm. 
There is Wear that is expected for its age and use. Please see photos.
Overall a Gorgeous Chair that you will love having in your home!!
Measurements:  43""H x 22"" x 24"" Seat Height 18 1/2"" AR: 24""  

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Seating,Chairs,Accent Chairs,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_351e06ed-9b88-48a9-99de-4cdb9ec9f130.jpg,in_stock
Vintage Mid Century Modern Cream White Ottoman w Peg Legs,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:

*************
Unique Footstool in Fair Vintage Condition. Solid and Firm. 
But the Fabric has some stains and the legs have lost their finish. 
Otherwise, wear is usual for its age. Please see photos.
Overall a Gorgeous Footstool that you will love having in your home!!
Measurements:   14""H x 24"" x 16""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Seating,Ottomans & Footstools,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_2000056b-4b7f-4876-8584-0d165560a5c1.jpg,in_stock
Set of Four Red French Country Ladderback Dining Chairs w Hen Fabric,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:

*************
Gorgeous Chairs in Great Vintage Condition. Solid and Firm. 
Wear is usual for their age. Please see photos. 
These are fairly new Chairs that have been painted and reupholstered with
The Chicken Fabric and Red Plaid Ruffles.  
Overall a Gorgeous Set of Chairs that you will love having in your home!!
Measurements:   41""H x 20"" x 22"" Seat Height 18 1/2""

Please keep in mind that this is a Used Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Seating,Chairs,Dining Chairs,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_75d48b8c-f4b6-4353-9504-74695bbd3815.jpg,in_stock
Vintage Oriental Asian Table Lamp Light,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:

*************
Gorgeous Light in Great Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see photos. 
Overall a Gorgeous Light that you will love having in your home!!
Measurements:   31""High x 12"" x 12""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Lighting,Table Lamps,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_2f31c4d1-1c4e-480c-866f-5c4fa219c934.jpg,in_stock
Antique Asian Chinoiserie Room Divider ~ Four Panel Screen w Gold Silk,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:

*************
Gorgeous Screen in Good Antique Condition. It is Solid and Firm. 
But this is an Old Screen and the frame shows wear.  Plus there are many 
decorative wood Fretwork that are broken. This adds to its Vintage Charm. 
Overall,  Wear is usual for its age. Please see photos
This is a Very Unique Screen that you will love having in your home!!
Measurements:   69 1/4""H x 60"" x 2""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Decor,Room Dividers,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_38883dce-dc6c-4691-aa77-28e65e32d7ad.jpg,in_stock
Vintage Mid Century Modern Bamboo Rattan End Table Tiki Palm Beach Style,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:

*************
Gorgeous Table in Great Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see photos. 
Overall a Gorgeous Table that you will love having in your home!!
Measurements:   22""H x 27"" x 20""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Tables & Desks,Tables,Accent & Side tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_ba2f72bf-436f-46ca-90e3-09289fc78a93.jpg,in_stock
Antique George Gaines Style Chippendale French Country Brown Rush Accent Chair,"Gorgeous Chair in Good Vintage Condition. The Rush is very Old but still can be used 
in its present condition. Otherwise, Wear is usual for its age. Please see photos.  
Overall a Gorgeous Chair that you will love having in your home!!
Measurements:   40"" H x 20"" x 17"" Seat Height 18""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Seating,Chairs,Accent Chairs,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_e8308414-d38f-43b5-a05f-3455142e4908.jpg,in_stock
"Large Wall Mantle Peacock Plaque 31""H x66 Vintage Mid Century Metal ~ Sitting on a Limb","Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:

*************
Unique Peacock in Great Vintage Condition. 
Wear is usual for its age. Please see photos.
Overall a Gorgeous Wall Hanging Peacock Plaque that you will love having in your home!!
Measurements:   34""High x 66"" Wide

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",Decor,Wall Art,Wall Decorative Accents,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_7cf3462f-69eb-4086-9322-627715872c53.jpg,in_stock
